id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24056,Linda-a-Velha,95163,Patrícia,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.71714,-9.23967,Private room,84,2,0,,,1,365
25659,"Sunny,  Alfama  Sleeps 3 - Coeur d'Alfama",107347,Ellie,Lisboa,Santa Maria Maior,38.71167,-9.12696,Entire home/apt,60,2,96,2018-11-09,1.64,1,316
26993,Small nice apartment in the center,111686,Hans,Lisboa,Avenidas Novas,38.73075,-9.14824,Entire home/apt,80,6,6,2018-07-04,0.06,1,74
28066,ear the birds,120855,Lucia,Azambuja,Aveiras de Cima,39.14654,-8.91503,Private room,53,1,0,,,1,365
29138,Room for rent in shared house,125304,Susana,Lisboa,Areeiro,38.73634,-9.13792,Private room,71,1,0,,,1,365
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.71272,-9.12628,Entire home/apt,60,3,290,2019-02-12,2.93,1,363
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71239,-9.12887,Entire home/apt,60,2,200,2019-02-03,2.44,2,225
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.71195,-9.15877,Entire home/apt,1000,2,32,2019-01-27,0.32,2,267
29915, MODERN  AND COOL APT IN LISBON,128890,Sara,Lisboa,Avenidas Novas,38.74712,-9.15286,Entire home/apt,50,7,35,2018-08-31,0.34,1,200
40817,"Chiado, Alecrim walk to Riverfront",176410,S.,Lisboa,Misericrdia,38.70953,-9.14255,Entire home/apt,40,1,317,2019-01-01,3.21,10,338
42519,apartamento do adamastor 6 - 1º.,136230,David,Lisboa,Misericrdia,38.71082,-9.1509,Entire home/apt,35,2,92,2018-08-19,1.03,11,0
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71309,-9.14392,Entire home/apt,65,5,11,2019-01-23,0.12,5,365
48058,Small House Downtown Cascais ,218990,Pim,Cascais,Cascais e Estoril,38.6965,-9.42571,Entire home/apt,80,5,22,2019-01-04,0.47,1,140
48854,"4BR in villa, terrace, near market",222551,Dagmar,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80334,-9.37913,Entire home/apt,185,3,35,2019-01-12,0.82,1,203
49319,Cottage in farm village at seaside,224843,Ilda,Lourinh,Lourinh e Atalaia,39.25351,-9.32946,Entire home/apt,70,3,6,2016-09-13,0.11,1,365
49673,Cottage Countryside / Beaches Golf,225364,Mercês,Alenquer,Alenquer (Santo Estvo e Triana),39.06003,-9.04619,Entire home/apt,200,7,3,2018-08-26,0.10,1,347
50108,Duplex do Pipas,229376,Pipas,Lisboa,Estrela,38.70388,-9.1652,Entire home/apt,60,2,36,2018-11-09,0.41,2,333
52298,rooms free in lisbon,241711,Paulo,Lisboa,Misericrdia,38.71213,-9.14921,Entire home/apt,310,1,0,,,1,365
