id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2077,Sallustiano - Centro storico,11756,Gea,,I Centro Storico,41.90961,12.49931,Entire home/apt,70,2,56,2019-01-03,0.91,1,246
2135,Rome City Art Apartment penthouse x 4people,2330,Barbara,,VIII Appia Antica,41.87244,12.47962,Entire home/apt,76,2,7,2016-10-25,0.07,6,216
2141,Artist Residency Country House EUR,2330,Barbara,,IX Eur,41.77781,12.428,Private room,50,2,0,,,6,90
2737,"Single room in cozy, clean flat.",3047,Elif,,VIII Appia Antica,41.87218,12.48355,Private room,18,15,7,2015-05-28,0.14,5,365
2903,Stay a night in Calisto6 B&B Rome,3280,Andrea,,I Centro Storico,41.88826,12.47002,Private room,98,1,55,2017-10-31,0.44,3,365
3079,Cozy apartment  (2-4)with Colisseum  view,3504,Laura,,I Centro Storico,41.89503,12.49163,Entire home/apt,105,2,17,2018-10-01,0.17,4,242
11834,"Roma ""Charming Boschetto House""",44552,Serena,,I Centro Storico,41.89574,12.49058,Entire home/apt,90,2,121,2019-02-02,1.27,1,347
14181,Beautiful apt close to the Vatican,51913,Ivan,,I Centro Storico,41.91485,12.45321,Private room,35,3,28,2019-02-27,0.26,1,61
15409,VATICAN SAN PIETRO 5min From Vatican,60352,Manuel,,XIII Aurelia,41.89538,12.45022,Entire home/apt,100,2,2,2015-03-23,0.04,3,365
16276,B&B Calisto6 great location in Rome,3280,Andrea,,I Centro Storico,41.88919,12.47107,Private room,98,1,6,2015-06-18,0.06,3,365
17604,2bdr Apartment 150mOstia Rome Beach,2330,Barbara,,X Ostia/Acilia,41.73469,12.2712,Entire home/apt,75,3,2,2014-07-14,0.04,6,172
19965,*ONLY 5 MIN WALK TO S.PETER'S BASILICA SQUARE*,75450,Sasa,,I Centro Storico,41.90722,12.45199,Entire home/apt,80,3,39,2019-01-02,0.45,8,335
19967,ONLY 5 MIN WALK TO S.PETER'S BASILICA SQUARE 2 BDR,75450,Sasa,,I Centro Storico,41.90729,12.45408,Entire home/apt,75,3,20,2018-10-31,0.30,8,336
20534,Trastevere - Cedro 1 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.8911,12.46909,Entire home/apt,70,3,37,2018-11-12,0.36,8,333
20587,Trastevere - Cedro 4 Terrace Apartment (2 Bedroom),77540,Sabrina,,I Centro Storico,41.89035,12.468,Entire home/apt,85,3,45,2019-01-20,0.43,8,299
20606,"Your own home in St. Peter, Rome",77932,Giovanna,,XIII Aurelia,41.89768,12.45614,Entire home/apt,142,3,62,2018-12-31,0.60,4,265
20699,Vintage Suite w/ Private Bath & AC,78287,Frank & Soledad,,I Centro Storico,41.89291,12.50531,Private room,90,1,318,2019-03-03,3.07,7,299
21193,BLUE DOUBLE ROOM WITH TERRACE,80755,Marianna,,I Centro Storico,41.90985,12.44761,Private room,70,1,6,2017-11-29,0.06,4,354
21249,"B&B 830, 10 min. from everything! - ROME",81015,Emanuele,,VII San Giovanni/Cinecittà,41.86272,12.54795,Entire home/apt,48,3,98,2018-09-28,0.92,9,364
21811,PRETTY FLAT IN TRASTEVERE,5232802,Luis,,I Centro Storico,41.88991,12.46727,Entire home/apt,50,3,177,2018-08-21,1.67,16,329
22335,4  APTS IN NAVONA SQUARE (unit 1),85707,Elena,,I Centro Storico,41.90028,12.46706,Entire home/apt,78,1,77,2019-01-21,2.09,4,318
22395,VERY COOL FLAT IN ST. PETER,5232802,Luis,,I Centro Storico,41.90306,12.46142,Entire home/apt,60,3,20,2018-07-15,0.21,16,272
22419,Vatican Vista Bed and Breakfast,86077,Rossana,,I Centro Storico,41.90574,12.45897,Entire home/apt,160,1,1,2010-09-06,0.01,2,252
22573,Wonderful loft in Rome Pigneto,86882,Francesco,,V Prenestino/Centocelle,41.89017,12.52682,Entire home/apt,80,28,95,2018-10-01,0.88,1,0
22930,Trastevere - Cedro 3 Terrace Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.88886,12.46729,Entire home/apt,70,3,60,2018-07-08,0.57,8,317
22931,Navona DormiRoma - Locazione Turistica Paolina,77540,Sabrina,,I Centro Storico,41.90068,12.46774,Entire home/apt,80,3,50,2019-02-25,0.54,8,274
23803,Charming flat in Trastevere,5232802,Luis,,I Centro Storico,41.89169,12.46584,Entire home/apt,50,3,193,2018-11-05,1.95,16,323
24557,Mini apartment with garden & wifi,86053,Els,,XIV Monte Mario,41.91114,12.41477,Entire home/apt,73,2,305,2019-01-02,2.82,1,335
25875,Your holiday next to St. Peter,77932,Giovanna,,XIII Aurelia,41.89709,12.45783,Entire home/apt,142,4,34,2019-01-02,0.33,4,36
26957,Calisto6 B&B in the heart of Rome,3280,Andrea,,I Centro Storico,41.88788,12.47151,Private room,98,2,11,2018-05-23,0.10,3,365
27018,My cute flat,113777,Cristiana,,VII San Giovanni/Cinecittà,41.88666,12.52245,Entire home/apt,99,3,6,2017-05-24,0.06,1,364
27732,Suite Giglio Luxury,119845,Irene,,I Centro Storico,41.91498,12.45325,Private room,70,2,14,2015-08-24,0.13,4,283
27816,*Rome CAMPO de FIORI Lovely Romantic Studio*,119186,Primarosa M.Rita,,I Centro Storico,41.89603,12.47174,Entire home/apt,68,2,105,2019-01-01,1.09,3,317
28449,Hip Suites Trastevere-Junior Suite,118734,Tomaso,,I Centro Storico,41.89041,12.47219,Private room,170,1,0,,,2,365
28929,"Luminous Apt. Trastevere, WiFi, Balcony, Lift",124415,Andrea,,I Centro Storico,41.88331,12.46576,Entire home/apt,139,3,18,2018-11-05,0.28,1,238
29593,cozy apartment in the Eternal City,127437,Simone,,XIV Monte Mario,41.91342,12.44264,Entire home/apt,85,4,19,2017-06-11,0.19,1,22
29606,"Your HOME in ROME,  at 2 STEPS from the CENTER",127506,Pino,,XII Monte Verde,41.87855,12.45142,Entire home/apt,15,2,116,2019-01-03,1.21,1,303
29902,Villa Lauretana for families/friend,128832,Loredana,,IX Eur,41.78628,12.53519,Entire home/apt,90,4,9,2018-08-10,0.17,1,292
30207,Rome - mini-loft,130264,Ida,,II Parioli/Nomentano,41.92713,12.51633,Entire home/apt,50,5,186,2018-10-29,1.75,1,97
